circuit,distance,p,shots,rung0_fail_total,rung0_logical_fail,rung0_syndrome_fail,rung0_exception_fail,rung0_success,rung0_fer,rung0_wilson95_lo,rung0_wilson95_hi,final_fail_total,final_fer,rescued_net_fail_delta,committee_disagreed,escalated,primary_forward,primary_backward,matrix_rows,matrix_cols,K,Delta,escalation_K,escalation_Delta,plot_group,plot_x,plot_y,plot_ci_low,plot_ci_high
color_code_mpp,13,0.09,100000,7734,7734,0,0,92266,0.07734,0.07570052839650171,0.079011942975827,7726,0.07726,8,213,213,50889,49111,126,127,1024,10.0,4096,14.0,d=13,0.09,0.07734,0.07570052839650171,0.079011942975827
color_code_mpp,13,0.0925,100000,8557,8557,0,0,91443,0.08557,0.08385213927578633,0.08731969981670926,8573,0.08573,-16,210,210,47758,52242,126,127,1024,10.0,4096,14.0,d=13,0.0925,0.08557,0.08385213927578633,0.08731969981670926
color_code_mpp,13,0.095,100000,9546,9546,0,0,90454,0.09546,0.09365424520190553,0.09729683407922317,9527,0.09527,19,227,227,49862,50138,126,127,1024,10.0,4096,14.0,d=13,0.095,0.09546,0.09365424520190553,0.09729683407922317
color_code_mpp,13,0.0975,100000,10873,10873,0,0,89127,0.10873,0.10681558551379665,0.1106744742833241,10878,0.10878,-5,265,265,48208,51792,126,127,1024,10.0,4096,14.0,d=13,0.0975,0.10873,0.10681558551379665,0.1106744742833241
color_code_mpp,13,0.1,100000,11934,11934,0,0,88066,0.11934,0.11734530559797532,0.12136393907289642,11938,0.11938,-4,232,232,47648,52352,126,127,1024,10.0,4096,14.0,d=13,0.1,0.11934,0.11734530559797532,0.12136393907289642
color_code_mpp,13,0.1025,100000,13141,13141,0,0,86859,0.13141,0.12933018462672477,0.1335181327516092,13157,0.13157,-16,254,254,46023,53977,126,127,1024,10.0,4096,14.0,d=13,0.1025,0.13141,0.12933018462672477,0.1335181327516092
color_code_mpp,13,0.105,100000,14178,14178,0,0,85822,0.14178,0.139631762047531,0.14395575864284796,14182,0.14182,-4,254,254,44132,55868,126,127,1024,10.0,4096,14.0,d=13,0.105,0.14178,0.139631762047531,0.14395575864284796
color_code_mpp,13,0.1075,100000,15435,15435,0,0,84565,0.15435,0.15212406128979844,0.15660249369493018,15438,0.15438,-3,255,255,43498,56502,126,127,1024,10.0,4096,14.0,d=13,0.1075,0.15435,0.15212406128979844,0.15660249369493018
color_code_mpp,13,0.11,100000,16703,16703,0,0,83297,0.16703,0.16473094752180292,0.16935463330639064,16708,0.16708,-5,270,270,42505,57495,126,127,1024,10.0,4096,14.0,d=13,0.11,0.16703,0.16473094752180292,0.16935463330639064
color_code_mpp,13,0.1125,100000,17926,17926,0,0,82074,0.17926,0.1768949872984795,0.18164965394498025,17942,0.17942,-16,294,294,40661,59339,126,127,1024,10.0,4096,14.0,d=13,0.1125,0.17926,0.1768949872984795,0.18164965394498025
color_code_mpp,13,0.115,100000,19136,19136,0,0,80864,0.19136,0.18893377512819565,0.1938099365179396,19133,0.19133,3,282,282,39138,60862,126,127,1024,10.0,4096,14.0,d=13,0.115,0.19136,0.18893377512819565,0.1938099365179396
color_code_mpp,13,0.1175,100000,20436,20436,0,0,79564,0.20436,0.20187215948819442,0.20687055341701371,20438,0.20438,-2,273,273,37347,62653,126,127,1024,10.0,4096,14.0,d=13,0.1175,0.20436,0.20187215948819442,0.20687055341701371
color_code_mpp,13,0.12,100000,21752,21752,0,0,78248,0.21752,0.21497385592718937,0.22008784594489555,21760,0.2176,-8,329,329,36038,63962,126,127,1024,10.0,4096,14.0,d=13,0.12,0.21752,0.21497385592718937,0.22008784594489555
color_code_mpp,17,0.08,100000,3218,3218,0,0,96782,0.03218,0.03110404258738059,0.03329189825727662,3225,0.03225,-7,445,445,52292,47708,216,217,1024,10.0,4096,14.0,d=17,0.08,0.03218,0.03110404258738059,0.03329189825727662
color_code_mpp,17,0.0825,100000,3918,3918,0,0,96082,0.03918,0.037995049383715576,0.04040035367736547,3900,0.039,18,502,502,51438,48562,216,217,1024,10.0,4096,14.0,d=17,0.0825,0.03918,0.037995049383715576,0.04040035367736547
color_code_mpp,17,0.085,100000,4714,4714,0,0,95286,0.04714,0.04584372308430613,0.0484710684400226,4695,0.04695,19,570,570,48969,51031,216,217,1024,10.0,4096,14.0,d=17,0.085,0.04714,0.04584372308430613,0.0484710684400226
color_code_mpp,17,0.0875,100000,5480,5480,0,0,94520,0.0548,0.053406436809916615,0.05622776622552734,5474,0.05474,6,579,579,51507,48493,216,217,1024,10.0,4096,14.0,d=17,0.0875,0.0548,0.053406436809916615,0.05622776622552734
color_code_mpp,17,0.09,100000,6468,6468,0,0,93532,0.06468,0.06317220948446492,0.0662212345078744,6446,0.06446,22,696,696,50255,49745,216,217,1024,10.0,4096,14.0,d=17,0.09,0.06468,0.06317220948446492,0.0662212345078744
color_code_mpp,17,0.0925,100000,7420,7420,0,0,92580,0.0742,0.07259184661941513,0.0758408659872606,7393,0.07393,27,805,805,48730,51270,216,217,1024,10.0,4096,14.0,d=17,0.0925,0.0742,0.07259184661941513,0.0758408659872606
color_code_mpp,17,0.095,100000,8737,8737,0,0,91263,0.08737,0.08563565677405433,0.08913604403123598,8719,0.08719,18,827,827,49232,50768,216,217,1024,10.0,4096,14.0,d=17,0.095,0.08737,0.08563565677405433,0.08913604403123598
color_code_mpp,17,0.0975,100000,9886,9886,0,0,90114,0.09886,0.0970254536607072,0.10072536441125596,9847,0.09847,39,912,912,48567,51433,216,217,1024,10.0,4096,14.0,d=17,0.0975,0.09886,0.0970254536607072,0.10072536441125596
color_code_mpp,17,0.1,100000,11021,11021,0,0,88979,0.11021,0.10828405617931952,0.11216588991498799,11039,0.11039,-18,1114,1114,47767,52233,216,217,1024,10.0,4096,14.0,d=17,0.1,0.11021,0.10828405617931952,0.11216588991498799
color_code_mpp,17,0.1025,100000,12311,12311,0,0,87689,0.12311,0.12108804534757897,0.1251609096884239,12269,0.12269,42,1139,1139,46700,53300,216,217,1024,10.0,4096,14.0,d=17,0.1025,0.12311,0.12108804534757897,0.1251609096884239
color_code_mpp,17,0.105,100000,13757,13757,0,0,86243,0.13757,0.13544904544699582,0.1397187986817911,13709,0.13709,48,1361,1361,45806,54194,216,217,1024,10.0,4096,14.0,d=17,0.105,0.13757,0.13544904544699582,0.1397187986817911
color_code_mpp,17,0.1075,100000,15355,15355,0,0,84645,0.15355,0.1513288459952366,0.15579777045047216,15326,0.15326,29,1502,1502,45085,54915,216,217,1024,10.0,4096,14.0,d=17,0.1075,0.15355,0.1513288459952366,0.15579777045047216
color_code_mpp,17,0.11,100000,17034,17034,0,0,82966,0.17034,0.16802267056162012,0.17268265597176813,17012,0.17012,22,1673,1673,44042,55958,216,217,1024,10.0,4096,14.0,d=17,0.11,0.17034,0.16802267056162012,0.17268265597176813
color_code_mpp,17,0.1125,100000,18399,18399,0,0,81601,0.18399,0.18160059714074614,0.1864036807146686,18368,0.18368,31,1852,1852,43191,56809,216,217,1024,10.0,4096,14.0,d=17,0.1125,0.18399,0.18160059714074614,0.1864036807146686
color_code_mpp,17,0.115,100000,19795,19795,0,0,80205,0.19795,0.19549202314642278,0.2004311822148886,19780,0.1978,15,2073,2073,42168,57832,216,217,1024,10.0,4096,14.0,d=17,0.115,0.19795,0.19549202314642278,0.2004311822148886
color_code_mpp,17,0.1175,100000,21283,21283,0,0,78717,0.21283,0.21030418251730115,0.21537787966977978,21275,0.21275,8,2259,2259,41249,58751,216,217,1024,10.0,4096,14.0,d=17,0.1175,0.21283,0.21030418251730115,0.21537787966977978
color_code_mpp,17,0.12,100000,23033,23033,0,0,76967,0.23033,0.22773077832727984,0.23294993940086073,23035,0.23035,-2,2484,2484,40457,59543,216,217,1024,10.0,4096,14.0,d=17,0.12,0.23033,0.22773077832727984,0.23294993940086073
color_code_mpp,21,0.08,100000,2309,2309,0,0,97691,0.02309,0.02217729086584555,0.024039348329198407,2287,0.02287,22,892,892,52343,47657,330,331,1024,10.0,4096,14.0,d=21,0.08,0.02309,0.02217729086584555,0.024039348329198407
color_code_mpp,21,0.0825,100000,2853,2853,0,0,97147,0.02853,0.02751612839912637,0.029580092861252683,2819,0.02819,34,1032,1032,51282,48718,330,331,1024,10.0,4096,14.0,d=21,0.0825,0.02853,0.02751612839912637,0.029580092861252683
color_code_mpp,21,0.085,100000,3587,3587,0,0,96413,0.03587,0.03473510507110787,0.03704055228477847,3568,0.03568,19,1256,1256,50087,49913,330,331,1024,10.0,4096,14.0,d=21,0.085,0.03587,0.03473510507110787,0.03704055228477847
color_code_mpp,21,0.0875,100000,4403,4403,0,0,95597,0.04403,0.042775836454983444,0.04531919399890554,4364,0.04364,39,1400,1400,51514,48486,330,331,1024,10.0,4096,14.0,d=21,0.0875,0.04403,0.042775836454983444,0.04531919399890554
color_code_mpp,21,0.09,100000,5320,5320,0,0,94680,0.0532,0.05182606491260518,0.05460826104479903,5283,0.05283,37,1674,1674,51116,48884,330,331,1024,10.0,4096,14.0,d=21,0.09,0.0532,0.05182606491260518,0.05460826104479903
color_code_mpp,21,0.0925,100000,6342,6342,0,0,93658,0.06342,0.06192616137898094,0.0649473794144021,6314,0.06314,28,1815,1815,49703,50297,330,331,1024,10.0,4096,14.0,d=21,0.0925,0.06342,0.06192616137898094,0.0649473794144021
color_code_mpp,21,0.095,100000,7739,7739,0,0,92261,0.07739,0.07575003630165877,0.07906243122935869,7699,0.07699,40,2272,2272,50110,49890,330,331,1024,10.0,4096,14.0,d=21,0.095,0.07739,0.07575003630165877,0.07906243122935869
color_code_mpp,21,0.0975,100000,9042,9042,0,0,90958,0.09042,0.08865823383185698,0.09221323265344655,9025,0.09025,17,2617,2617,49541,50459,330,331,1024,10.0,4096,14.0,d=21,0.0975,0.09042,0.08865823383185698,0.09221323265344655
color_code_mpp,21,0.1,100000,10431,10431,0,0,89569,0.10431,0.10243069552531203,0.10621970384372395,10370,0.1037,61,3079,3079,49203,50797,330,331,1024,10.0,4096,14.0,d=21,0.1,0.10431,0.10243069552531203,0.10621970384372395
color_code_mpp,21,0.1025,100000,11895,11895,0,0,88105,0.11895,0.116958162067386,0.12097111256571356,11840,0.1184,55,3489,3489,48549,51451,330,331,1024,10.0,4096,14.0,d=21,0.1025,0.11895,0.116958162067386,0.12097111256571356
color_code_mpp,21,0.105,100000,13632,13632,0,0,86368,0.13632,0.1342072744445167,0.13846066571705168,13586,0.13586,46,4083,4083,48047,51953,330,331,1024,10.0,4096,14.0,d=21,0.105,0.13632,0.1342072744445167,0.13846066571705168
color_code_mpp,21,0.1075,100000,15336,15336,0,0,84664,0.15336,0.15113998546746532,0.15560664557522624,15256,0.15256,80,4645,4645,47651,52349,330,331,1024,10.0,4096,14.0,d=21,0.1075,0.15336,0.15113998546746532,0.15560664557522624
color_code_mpp,21,0.11,100000,16926,16926,0,0,83074,0.16926,0.16694859855971264,0.1715968109459988,16880,0.1688,46,5306,5306,46933,53067,330,331,1024,10.0,4096,14.0,d=21,0.11,0.16926,0.16694859855971264,0.1715968109459988
color_code_mpp,21,0.1125,100000,18795,18795,0,0,81205,0.18795,0.1855406365246509,0.19038333709891223,18670,0.1867,125,5977,5977,46477,53523,330,331,1024,10.0,4096,14.0,d=21,0.1125,0.18795,0.1855406365246509,0.19038333709891223
color_code_mpp,21,0.115,100000,20578,20578,0,0,79422,0.20578,0.203285676415179,0.20829692739678937,20423,0.20423,155,6729,6729,45712,54288,330,331,1024,10.0,4096,14.0,d=21,0.115,0.20578,0.203285676415179,0.20829692739678937
color_code_mpp,21,0.1175,100000,22703,22703,0,0,77297,0.22703,0.22444411770298062,0.229636853551703,22606,0.22606,97,7489,7489,45286,54714,330,331,1024,10.0,4096,14.0,d=21,0.1175,0.22703,0.22444411770298062,0.229636853551703
color_code_mpp,21,0.12,100000,24045,24045,0,0,75955,0.24045,0.23781126628409488,0.24310867396264696,23916,0.23916,129,8265,8265,44491,55509,330,331,1024,10.0,4096,14.0,d=21,0.12,0.24045,0.23781126628409488,0.24310867396264696
