distance,decoder,status,shots,fail_total,fer,fer_lo,fer_hi,fer_per_round,fer_per_round_lo,fer_per_round_hi,matrix_rows,matrix_cols,avg_retained_list_size,avg_retained_list_size_stderr,retained_estimate_samples,frontier_K,frontier_Delta
5,Correlated-MWPM,complete,250000,196,0.000784,0.0006816888196772186,0.0009016526862407814,0.0001568491956234208,0.00013637495511986675,0.00018039561066085508,120,1677,,,,,
5,Frontier,final,250000,117,0.000468,0.00039054835112768655,0.0005608028658489936,9.36175268417827e-05,7.812187532685311e-05,0.000112185741627302,120,1677,4.236450059630292,0.07252581713875939,2000,1024,10.0
7,Correlated-MWPM,complete,2000000,258,0.000129,0.0001141910480184163,0.00014572918215550025,1.842959034670244e-05,1.6313805258794112e-05,2.081975493506416e-05,336,5471,,,,,
7,Frontier,final,2000000,158,7.9e-05,6.760515749636607e-05,9.231526475012265e-05,1.1286096406437629e-05,9.658159477954342e-06,1.3188416755904875e-05,336,5471,6.796125693048193,0.10068617990464915,1500,1024,10.0
9,Correlated-MWPM,complete,10000000,208,2.08e-05,1.8158876920352374e-05,2.382525283368649e-05,2.311132476284783e-06,2.0176692749895864e-06,2.6472783469788652e-06,720,12705,,,,,
9,Frontier,complete,10000000,118,1.18e-05,9.854369472536595e-06,1.4129767196125486e-05,1.311117987179422e-06,1.0949347368782725e-06,1.569983992255608e-06,720,12705,11.10091963793782,0.18758400975251743,1000,1024,10.0
11,Correlated-MWPM,complete,37040000,129,3.4827213822894167e-06,2.9313481640254766e-06,4.137804958675212e-06,3.1661153598872005e-07,2.664865518253734e-07,3.761647946465274e-07,1320,24483,,,,,
11,Frontier,partial,37040000,59,1.5928725701943844e-06,1.2349874759799185e-06,2.05446841452723e-06,1.448067021847521e-07,1.1227165175320408e-07,1.8677003033040762e-07,1320,24483,33.831272311399744,0.8273537056561387,400,2048,12.0
