circuit,distance,rounds,p,source_p,stim_path,noise_model,matrix_rows,matrix_cols,logical_rows,matrix_nnz,frontier_max_active_detectors,shots,fail_total,logical_fail,syndrome_fail,exception_fail,fer,fer_per_round,wilson95_lo,wilson95_hi,K,Delta,selected_K,selected_Delta,escalation_K,escalation_Delta,score_alpha,decoder_mode,engine_requested,engines_seen,selected_forward,selected_backward,committee_disagreed,escalated,escalation_fraction,mean_decode_s,p95_decode_s,p99_decode_s,mean_transition_evals_total,mean_primary_transition_evals_total,mean_escalation_transition_evals_total,mean_selected_transition_evals,mean_pre_prune_state_count,mean_post_prune_state_count,max_pre_prune_state_count_max,max_post_prune_state_count_max,mean_sum_pre_prune_state_count,mean_sum_post_prune_state_count,elapsed_s,seed,plot_group,plot_x,plot_y
color_code_mpp,9,1,0.105,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,14232,14232,0,0,0.14232,0.14232,0.14016830984333434,0.14449916936088308,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,46879,53121,38,38,0.00038,0.00064984099148307,0.0009134019725024697,0.000993319144472479,12730.98382,12723.05388,7.92994,7015.40482,66.3458537704918,57.51933327868853,512,512,4047.09708,3508.67933,7.416050959844142,20260602,d=9,0.105,57.51933327868853
color_code_mpp,9,1,0.1075,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,15355,15355,0,0,0.15355,0.15354999999999996,0.1513288459952366,0.15579777045047216,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,46733,53267,24,24,0.00024,0.0006728223343379795,0.0009235164383426305,0.000992380641400814,13252.84874,13247.65648,5.19226,7289.69206,68.42372737704918,59.76765016393443,512,512,4173.84737,3645.82666,8.612734546884894,20260602,d=9,0.1075,59.76765016393443
color_code_mpp,9,1,0.11,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,16274,16274,0,0,0.16274,0.16274,0.1604651236807315,0.165040786731968,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,46806,53194,32,32,0.00032,0.0007063748375000432,0.0009633018868044019,0.0013545369775965794,13835.47214,13828.4916,6.98054,7579.9618,70.6032706557377,62.14699,512,512,4306.79951,3790.96639,8.461055180057883,20260602,d=9,0.11,62.14699
color_code_mpp,9,1,0.1125,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,17254,17254,0,0,0.17254,0.17254000000000003,0.17021069995515128,0.1748944575605416,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,46624,53376,35,35,0.00035,0.0007107488175667823,0.0009485418209806084,0.0010191171336919062,14360.95044,14353.25152,7.69892,7847.25548,72.57551983606557,64.33794721311475,512,512,4427.10671,3924.61478,8.06274088472128,20260602,d=9,0.1125,64.33794721311475
color_code_mpp,9,1,0.115,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,18236,18236,0,0,0.18236,0.18235999999999997,0.17997893400182938,0.1847654690803324,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,46521,53479,27,27,0.00027,0.0007284667944861576,0.0009563221130520106,0.0010268434230238195,14890.59296,14884.63166,5.9613,8111.34842,74.48010475409836,66.50268508196721,512,512,4543.28639,4056.66379,9.8562690182589,20260602,d=9,0.115,66.50268508196721
color_code_mpp,9,1,0.1175,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,19362,19362,0,0,0.19362,0.19362000000000001,0.191182763589839,0.19608077442902738,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,46186,53814,30,30,0.0003,0.0007487758134258911,0.0009667593985795971,0.0010429360764101147,15407.29926,15400.69286,6.6064,8372.54058,76.31042540983609,68.64362573770491,512,512,4654.93595,4187.26117,8.439518652390689,20260602,d=9,0.1175,68.64362573770491
color_code_mpp,9,1,0.12,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,20423,20423,0,0,0.20423,0.20423000000000002,0.20174275538422085,0.20673996750839654,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,46293,53707,28,28,0.00028,0.0007686083667632192,0.0009744201321154833,0.0010486542340368025,15904.90878,15898.83554,6.07324,8609.5931,77.93681508196721,70.58670442622952,512,512,4754.14572,4305.78897,8.619277727790177,20260602,d=9,0.12,70.58670442622952
color_code_mpp,13,1,0.08,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=13,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=127,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,126,127,1,342,11,100000,4451,4451,0,0,0.04451,0.04451000000000005,0.04324922763820518,0.04580576593909574,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,51017,48983,172,172,0.00172,0.001322798880310729,0.0027547711506485926,0.003939750436693427,31353.42104,31117.19088,236.23016,17096.78118,88.76415968503939,67.3149003937008,4092,3931,11273.04828,8548.99235,18.588114588987082,20260602,d=13,0.08,67.3149003937008
color_code_mpp,13,1,0.0825,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=13,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=127,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,126,127,1,342,11,100000,5022,5022,0,0,0.05022,0.05022000000000004,0.04888356946979744,0.05159098542975778,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,50251,49749,169,169,0.00169,0.0014441423160256818,0.0030357536161318404,0.004252061680890618,34743.78788,34494.24114,249.54674,19037.6243,98.31609047244095,74.95642283464568,4072,3862,12486.14349,9519.4657,15.457539498340338,20260602,d=13,0.0825,74.95642283464568
color_code_mpp,13,1,0.085,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=13,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=127,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,126,127,1,342,11,100000,5893,5893,0,0,0.05893,0.05893000000000004,0.05748729467950168,0.06040659106363234,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,47463,52537,200,200,0.002,0.0015815685502626002,0.0033081038389354933,0.004549816744402048,38520.8485,38217.59514,303.25336,21260.57126,109.26555976377954,83.708538503937,3912,3315,13876.72609,10630.98439,16.92733720690012,20260602,d=13,0.085,83.708538503937
color_code_mpp,13,1,0.0875,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=13,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=127,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,126,127,1,342,11,100000,6699,6699,0,0,0.06699,0.06699,0.06545705716349562,0.06855620936026355,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,51868,48132,209,209,0.00209,0.0017340549758821727,0.0036305351648479697,0.004944259645417329,42746.60668,42406.25824,340.34844,23712.47262,121.05804314960629,93.3621005511811,4088,3933,15374.37148,11856.98677,18.43340050894767,20260602,d=13,0.0875,93.3621005511811
color_code_mpp,13,1,0.09,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=13,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=127,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,126,127,1,342,11,100000,7726,7726,0,0,0.07726,0.07726,0.07562131617093094,0.07893116134749577,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,50890,49110,213,213,0.00213,0.001894754266999662,0.003929620608687396,0.005262799756601448,47207.86272,46838.5544,369.30832,26230.4444,133.29415637795276,103.27568007874015,4086,3803,16928.35786,13116.01137,19.975340847857296,20260602,d=13,0.09,103.27568007874015
color_code_mpp,13,1,0.0925,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=13,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=127,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,126,127,1,342,11,100000,8573,8573,0,0,0.08573,0.08572999999999997,0.08401066497355011,0.08748116182674945,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,47745,52255,210,210,0.0021,0.002064814218855463,0.004234592313878236,0.005545947514474388,51832.63222,51457.26208,375.37014,28808.53606,145.48347685039369,113.42594566929135,4096,4096,18476.40156,14405.0951,21.7292110058479,20260602,d=13,0.0925,113.42594566929135
