decoder,Delta,K,status,trials,fail_total,fer,ci_low,ci_high,logical_fail,syndrome_fail,exception_fail,x_avg_retained_list_size_per_side_column,y_mean_peak_retained_list_size_per_side_trace,scan_mean_frame_peak_list_size,scan_transition_evals_total_mean,scan_trials,source,point_label
FrontierFast D2/K8192,2.0,8192,complete,1000000,158952,0.158952,0.1582366860781246,0.1596699341555057,12561,146391,0,1.01040954489,2.2645,2.5672,69780.5616,5000,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_avg_retained_axis_scan_d2_s5000_v1,\Delta=2
FrontierFast D4/K8192,4.0,8192,complete,1000000,3458,0.003458,0.0033448360830099465,0.003574978793626853,366,3092,0,1.05563725041,3.7563,4.3788,74360.6368,5000,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_avg_retained_axis_scan_d4_s5000_v1,\Delta=4
FrontierFast D6/K8192,6.0,8192,complete,2500000,1106,0.0004424,0.00041708942070794,0.00046924580089223575,103,1003,0,1.18501206127,5.5962,6.7262,82664.2784,5000,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_avg_retained_axis_scan_d6_s5000_v1,\Delta=6
FrontierFast D8/K8192,8.0,8192,complete,2500000,174,6.96e-05,5.9998578442914184e-05,8.073778883217971e-05,31,143,0,1.65737288302,9.7477,11.9358,115755.8128,5000,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_avg_retained_axis_scan_d8_s5000_v1,\Delta=8
FrontierFast D10/K8192,10.0,8192,complete,7500000,40,5.333333333333334e-06,3.916922891230271e-06,7.261932559113897e-06,13,27,0,2.62423065038,20.116,24.9718,181809.0656,5000,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_avg_retained_axis_scan_d10_s5000_v1,\Delta=10
FrontierFast D12/K8192,12.0,8192,partial,11865000,12,1.011378002528445e-06,5.785723446135165e-07,1.7679468131308924e-06,6,6,0,4.55489896403,36.5332,46.8664,311913.0144,5000,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_k8192_d12_exact_state_scan_s5000_v1,\Delta=12
FrontierFast D14/K8192,14.0,8192,complete,23580000,8,3.3927056827820187e-07,1.7191684744715898e-07,6.695358916659911e-07,5,3,0,8.18302696949,73.8109,96.9374,557384.0144,5000,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_avg_retained_axis_scan_d14_s5000_v1,\Delta=14
FrontierFast D20/K16384,20,16384,complete 20000/20000 chunks,100000000,3,3e-08,1.0202707334903524e-08,8.8211877091482e-08,3,0,0,99.9962730419,702.1123,934.0344,6724599.498,5000,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_avg_retained_axis_scan_d20_s5000_v1,\Delta=20
